建物種別,建物名,路線情報,駅名,賃料,管理費,月額
賃貸マンション,Grande Maison 浅草合羽橋,つくばエクスプレス/浅草駅 歩5分,浅草,15.6,0.8,16.4
賃貸アパート,西武新宿線 田無駅 3階建 築7年,西武新宿線/田無駅 歩4分,田無,9.6,0.4,10.0
賃貸アパート,アイコート田無,西武新宿線/田無駅 歩4分,田無,9.6,0.4,10.0
賃貸マンション,クレストコート新宿山吹町,東京メトロ有楽町線/江戸川橋駅 歩5分,江戸川橋,20.5,1.5,22.0
賃貸マンション,クレストコート新宿山吹町,東京メトロ有楽町線/江戸川橋駅 歩5分,江戸川橋,22.7,1.5,24.2
賃貸マンション,LEGALAND西新宿ANNEX,都営大江戸線/西新宿五丁目駅 歩5分,西新宿五丁目,22.0,2.0,24.0
賃貸マンション,RELUXIA 氷川台,東京メトロ副都心線/氷川台駅 歩5分,氷川台,13.5,2.0,15.5
賃貸マンション,RELUXIA 氷川台,東京メトロ副都心線/氷川台駅 歩5分,氷川台,13.5,2.0,15.5
賃貸マンション,RELUXIA 氷川台,東京メトロ副都心線/氷川台駅 歩5分,氷川台,14.0,2.0,16.0
賃貸アパート,京王相模原線 京王多摩川駅 3階建 築2年,京王相模原線/京王多摩川駅 歩4分,京王多摩川,12.5,0.5,13.0
賃貸アパート,京王相模原線 京王多摩川駅 3階建 築2年,京王相模原線/京王多摩川駅 歩4分,京王多摩川,12.5,0.6,13.1
賃貸マンション,ローレルタワー　ルネ浜松町,新交通ゆりかもめ/日の出駅 歩1分,日の出,33.0,0.0,33.0
賃貸マンション,ローレルタワー　ルネ浜松町,新交通ゆりかもめ/日の出駅 歩1分,日の出,33.0,0.0,33.0
賃貸マンション,Seven Leaves 白金台,東京メトロ南北線/白金台駅 歩8分,白金台,19.9,0.6,20.5
賃貸マンション,（仮称）新宿区早稲田鶴巻町案件,東京メトロ有楽町線/江戸川橋駅 歩6分,江戸川橋,16.5,0.5,17.0
賃貸マンション,（仮称）新宿区早稲田鶴巻町案件,東京メトロ有楽町線/江戸川橋駅 歩6分,江戸川橋,18.5,0.5,19.0
賃貸マンション,クロスレジデンス六義園,ＪＲ山手線/巣鴨駅 歩4分,巣鴨,16.0,1.2,17.2
賃貸マンション,クロスレジデンス六義園,ＪＲ山手線/巣鴨駅 歩4分,巣鴨,16.6,1.2,17.8
賃貸マンション,ＪＲ山手線 巣鴨駅 9階建 築1年,ＪＲ山手線/巣鴨駅 歩4分,巣鴨,16.2,1.2,17.4
賃貸マンション,ＪＲ山手線 巣鴨駅 9階建 築1年,ＪＲ山手線/巣鴨駅 歩4分,巣鴨,16.6,1.2,17.8
賃貸マンション,新交通ゆりかもめ 新豊洲駅 地下1地上31階建 築9年,新交通ゆりかもめ/新豊洲駅 歩6分,新豊洲,28.0,0.0,28.0
賃貸マンション,新交通ゆりかもめ 新豊洲駅 地下1地上31階建 築9年,新交通ゆりかもめ/新豊洲駅 歩6分,新豊洲,28.0,1.5,29.5
賃貸マンション,GRAN PASEO白山,都営三田線/白山駅 歩7分,白山,17.4,1.5,18.9
賃貸マンション,GRAN PASEO白山,都営三田線/白山駅 歩7分,白山,17.7,1.5,19.2
賃貸マンション,GRAN PASEO白山,都営三田線/白山駅 歩7分,白山,17.7,1.5,19.2
賃貸マンション,GRAN PASEO白山,都営三田線/白山駅 歩7分,白山,18.0,1.5,19.5
賃貸マンション,都営三田線 白山駅 4階建 築5年,都営三田線/白山駅 歩7分,白山,17.4,1.5,18.9
賃貸マンション,都営三田線 白山駅 4階建 築5年,都営三田線/白山駅 歩7分,白山,17.7,1.5,19.2
賃貸マンション,東京メトロ半蔵門線 神保町駅 13階建 築1年,東京メトロ半蔵門線/神保町駅 歩4分,神保町,22.5,1.5,24.0
賃貸マンション,東京メトロ半蔵門線 神保町駅 13階建 築1年,東京メトロ半蔵門線/神保町駅 歩4分,神保町,23.0,1.5,24.5
賃貸マンション,東京メトロ半蔵門線 神保町駅 13階建 築1年,東京メトロ半蔵門線/神保町駅 歩4分,神保町,23.1,1.5,24.6
賃貸マンション,東京メトロ半蔵門線 神保町駅 13階建 築1年,東京メトロ半蔵門線/神保町駅 歩4分,神保町,23.2,1.5,24.7
賃貸マンション,東京メトロ半蔵門線 神保町駅 13階建 築1年,東京メトロ半蔵門線/神保町駅 歩4分,神保町,23.3,1.5,24.8
賃貸マンション,東京メトロ半蔵門線 神保町駅 13階建 築1年,東京メトロ半蔵門線/神保町駅 歩4分,神保町,23.4,1.5,24.9
賃貸マンション,東京メトロ半蔵門線 神保町駅 13階建 築1年,東京メトロ半蔵門線/神保町駅 歩4分,神保町,23.5,1.5,25.0
賃貸マンション,東京メトロ半蔵門線 神保町駅 13階建 築1年,東京メトロ半蔵門線/神保町駅 歩4分,神保町,23.5,1.5,25.0
賃貸マンション,東京メトロ半蔵門線 神保町駅 13階建 築1年,東京メトロ半蔵門線/神保町駅 歩4分,神保町,24.0,1.5,25.5
賃貸マンション,東京メトロ半蔵門線 神保町駅 13階建 築1年,東京メトロ半蔵門線/神保町駅 歩4分,神保町,24.2,1.5,25.7
賃貸マンション,東京メトロ半蔵門線 神保町駅 13階建 築1年,東京メトロ半蔵門線/神保町駅 歩4分,神保町,24.3,1.5,25.8
賃貸マンション,東京メトロ半蔵門線 神保町駅 13階建 築1年,東京メトロ半蔵門線/神保町駅 歩4分,神保町,24.4,1.5,25.9
賃貸マンション,東京メトロ半蔵門線 神保町駅 13階建 築1年,東京メトロ半蔵門線/神保町駅 歩4分,神保町,24.5,1.5,26.0
賃貸マンション,東京メトロ半蔵門線 神保町駅 13階建 築1年,東京メトロ半蔵門線/神保町駅 歩4分,神保町,24.6,1.5,26.1
賃貸マンション,東京メトロ半蔵門線 神保町駅 13階建 築1年,東京メトロ半蔵門線/神保町駅 歩4分,神保町,24.7,1.5,26.2
賃貸マンション,東京メトロ半蔵門線 神保町駅 13階建 築1年,東京メトロ半蔵門線/神保町駅 歩4分,神保町,25.0,1.5,26.5
賃貸マンション,アーバハイツ六町４丁目,つくばエクスプレス/六町駅 歩4分,六町,13.9,0.8,14.700000000000001
賃貸アパート,京成本線 青砥駅 3階建 築4年,京成本線/青砥駅 歩3分,青砥,10.7,0.3,11.0
賃貸アパート,京成本線 青砥駅 3階建 築4年,京成本線/青砥駅 歩3分,青砥,11.0,0.3,11.3
賃貸マンション,都営三田線 白金台駅 4階建 築5年,都営三田線/白金台駅 歩8分,白金台,20.4,1.0,21.4
賃貸マンション,リテラス上野入谷ノース,東京メトロ日比谷線/入谷駅 歩5分,入谷,15.4,1.5,16.9
賃貸マンション,リテラス上野入谷ノース,東京メトロ日比谷線/入谷駅 歩5分,入谷,15.5,1.5,17.0
賃貸マンション,リテラス上野入谷ノース,東京メトロ日比谷線/入谷駅 歩5分,入谷,15.5,1.5,17.0
賃貸マンション,リテラス上野入谷ノース,東京メトロ日比谷線/入谷駅 歩5分,入谷,15.7,1.5,17.2
賃貸マンション,リテラス上野入谷ノース,東京メトロ日比谷線/入谷駅 歩5分,入谷,15.7,1.5,17.2
賃貸マンション,リテラス上野入谷ノース,東京メトロ日比谷線/入谷駅 歩5分,入谷,15.9,1.5,17.4
賃貸マンション,リテラス上野入谷ノース,東京メトロ日比谷線/入谷駅 歩5分,入谷,15.9,1.5,17.4
賃貸マンション,リテラス上野入谷ノース,東京メトロ日比谷線/入谷駅 歩5分,入谷,15.9,1.5,17.4
賃貸マンション,リテラス上野入谷ノース,東京メトロ日比谷線/入谷駅 歩5分,入谷,16.0,1.5,17.5
賃貸マンション,リテラス上野入谷ノース,東京メトロ日比谷線/入谷駅 歩5分,入谷,16.0,1.5,17.5
賃貸マンション,リテラス上野入谷ノース,東京メトロ日比谷線/入谷駅 歩5分,入谷,16.2,1.5,17.7
賃貸マンション,リテラス上野入谷ノース,東京メトロ日比谷線/入谷駅 歩5分,入谷,16.2,1.5,17.7
賃貸マンション,リテラス上野入谷ノース,東京メトロ日比谷線/入谷駅 歩5分,入谷,16.5,1.5,18.0
賃貸マンション,リテラス上野入谷ノース,東京メトロ日比谷線/入谷駅 歩5分,入谷,16.6,1.5,18.1
賃貸マンション,リテラス上野入谷ノース,東京メトロ日比谷線/入谷駅 歩5分,入谷,16.7,1.5,18.2
賃貸マンション,リテラス上野入谷ノース,東京メトロ日比谷線/入谷駅 歩5分,入谷,16.7,1.5,18.2
賃貸マンション,リテラス上野入谷ノース,東京メトロ日比谷線/入谷駅 歩5分,入谷,16.9,1.5,18.4
賃貸マンション,リテラス上野入谷ノース,東京メトロ日比谷線/入谷駅 歩5分,入谷,16.9,1.5,18.4
賃貸マンション,リテラス上野入谷ノース,東京メトロ日比谷線/入谷駅 歩5分,入谷,17.2,1.5,18.7
賃貸マンション,リテラス上野入谷ノース,東京メトロ日比谷線/入谷駅 歩5分,入谷,17.2,1.5,18.7
賃貸アパート,Bloom with Grace,ＪＲ山手線/目白駅 歩17分,目白,15.5,0.0,15.5
賃貸アパート,Bloom with Grace,ＪＲ山手線/目白駅 歩17分,目白,15.5,0.0,15.5
賃貸マンション,アーバンパーク下北沢,小田急線/東北沢駅 歩4分,東北沢,26.0,2.0,28.0
賃貸マンション,東京メトロ丸ノ内線 四ツ谷駅 7階建 築4年,東京メトロ丸ノ内線/四ツ谷駅 歩6分,四ツ谷,19.5,1.5,21.0
賃貸マンション,東京メトロ丸ノ内線 四ツ谷駅 7階建 築4年,東京メトロ丸ノ内線/四ツ谷駅 歩6分,四ツ谷,20.2,1.5,21.7
賃貸マンション,東京メトロ丸ノ内線 四ツ谷駅 7階建 築4年,東京メトロ丸ノ内線/四ツ谷駅 歩6分,四ツ谷,23.4,1.5,24.9
賃貸マンション,都営大江戸線 西新宿五丁目駅 6階建 築2年,都営大江戸線/西新宿五丁目駅 歩5分,西新宿五丁目,17.4,0.8,18.2
賃貸マンション,都営大江戸線 西新宿五丁目駅 6階建 築2年,都営大江戸線/西新宿五丁目駅 歩5分,西新宿五丁目,18.2,0.8,19.0
賃貸マンション,東武東上線 北池袋駅 5階建 築6年,東武東上線/北池袋駅 歩4分,北池袋,11.1,0.4,11.5
賃貸マンション,アイディ品川25,ＪＲ京浜東北線/大井町駅 歩9分,大井町,16.9,1.0,17.9
賃貸マンション,ＪＲ京浜東北線 大井町駅 13階建 築8年,ＪＲ京浜東北線/大井町駅 歩11分,大井町,16.9,1.0,17.9
賃貸マンション,Brillia ist 池尻大橋,東急田園都市線/池尻大橋駅 歩4分,池尻大橋,18.3,1.5,19.8
賃貸マンション,Brillia ist 池尻大橋,東急田園都市線/池尻大橋駅 歩4分,池尻大橋,18.3,1.5,19.8
賃貸マンション,Brillia ist 池尻大橋,東急田園都市線/池尻大橋駅 歩4分,池尻大橋,19.0,1.5,20.5
賃貸マンション,Brillia ist 池尻大橋,東急田園都市線/池尻大橋駅 歩4分,池尻大橋,19.4,1.5,20.9
賃貸マンション,Brillia ist 池尻大橋,東急田園都市線/池尻大橋駅 歩4分,池尻大橋,19.4,1.5,20.9
賃貸マンション,Brillia ist 池尻大橋,東急田園都市線/池尻大橋駅 歩4分,池尻大橋,19.4,1.5,20.9
賃貸マンション,Brillia ist 池尻大橋,東急田園都市線/池尻大橋駅 歩4分,池尻大橋,23.9,1.5,25.4
賃貸マンション,Brillia ist 池尻大橋,東急田園都市線/池尻大橋駅 歩4分,池尻大橋,24.7,1.5,26.2
賃貸マンション,Brillia ist 池尻大橋,東急田園都市線/池尻大橋駅 歩4分,池尻大橋,24.7,1.5,26.2
賃貸マンション,Brillia ist 池尻大橋,東急田園都市線/池尻大橋駅 歩4分,池尻大橋,24.7,1.5,26.2
賃貸マンション,Brillia ist 池尻大橋,東急田園都市線/池尻大橋駅 歩4分,池尻大橋,31.5,1.5,33.0
賃貸マンション,Brillia ist 池尻大橋,東急田園都市線/池尻大橋駅 歩4分,池尻大橋,38.2,3.0,41.2
賃貸マンション,Brillia ist 池尻大橋,東急田園都市線/池尻大橋駅 歩4分,池尻大橋,39.5,3.0,42.5
賃貸アパート,ＪＲ山手線 田端駅 3階建 築9年,ＪＲ山手線/田端駅 歩11分,田端,12.8,0.45,13.25
賃貸マンション,ルミーク大山,東武東上線/大山駅 歩5分,大山,19.9,2.0,21.9
賃貸マンション,ルミーク大山,東武東上線/大山駅 歩5分,大山,19.2,3.0,22.2
賃貸マンション,ルミーク大山,東武東上線/大山駅 歩5分,大山,21.4,3.0,24.4
賃貸マンション,ルミーク大山,東武東上線/大山駅 歩5分,大山,22.1,3.0,25.1
賃貸マンション,ルミーク大山,東武東上線/大山駅 歩5分,大山,23.3,2.0,25.3
賃貸マンション,ルミーク大山,東武東上線/大山駅 歩5分,大山,23.5,3.0,26.5
賃貸マンション,新築：プルミエール浅草(2025、２月完成予定),都営浅草線/浅草駅 歩3分,浅草,15.4,1.032,16.432000000000002
賃貸マンション,新築：プルミエール浅草(2025、２月完成予定),都営浅草線/浅草駅 歩3分,浅草,15.6,1.032,16.631999999999998
賃貸マンション,新築：プルミエール浅草(2025、２月完成予定),都営浅草線/浅草駅 歩3分,浅草,15.7,1.032,16.732
賃貸マンション,新築：プルミエール浅草(2025、２月完成予定),都営浅草線/浅草駅 歩3分,浅草,15.8,1.032,16.832
賃貸マンション,新築：プルミエール浅草(2025、２月完成予定),都営浅草線/浅草駅 歩3分,浅草,15.9,1.032,16.932000000000002
賃貸マンション,新築：プルミエール浅草(2025、２月完成予定),都営浅草線/浅草駅 歩3分,浅草,16.0,1.032,17.032
賃貸マンション,新築：プルミエール浅草(2025、２月完成予定),都営浅草線/浅草駅 歩3分,浅草,16.2,1.032,17.232
賃貸マンション,新築：プルミエール浅草(2025、２月完成予定),都営浅草線/浅草駅 歩3分,浅草,16.2,1.032,17.232
賃貸マンション,新築：プルミエール浅草(2025、２月完成予定),都営浅草線/浅草駅 歩3分,浅草,16.2,1.032,17.232
賃貸マンション,ウェルスクエアイズム目白イースト,東京メトロ副都心線/雑司が谷駅 歩4分,雑司が谷,13.7,0.6,14.299999999999999
賃貸アパート,東武東上線 東武練馬駅 3階建 新築,東武東上線/東武練馬駅 歩5分,東武練馬,11.8,0.3,12.100000000000001
賃貸アパート,東武東上線 東武練馬駅 3階建 新築,東武東上線/東武練馬駅 歩5分,東武練馬,12.0,0.3,12.3
