都道府県,物件タイプ,部屋種別,駅,家賃,lon,lat
tokyo,マンション,3LDK/4K以上,上野,24.0万円,139.77706275,35.713213
tokyo,マンション,3LDK/4K以上,御徒町,29.4万円,139.774727,35.707282
tokyo,マンション,3LDK/4K以上,秋葉原,27.8万円,139.7739192,35.6985816
tokyo,マンション,3LDK/4K以上,神田,33.5万円,139.77070550000002,35.6917765
tokyo,アパート,ワンルーム,東京,6.1万円,139.76598675,35.68142116666667
tokyo,アパート,ワンルーム,有楽町,3.9万円,139.76362566666666,35.675532
tokyo,アパート,ワンルーム,新橋,7.1万円,139.7588392857143,35.66618485714286
tokyo,アパート,ワンルーム,浜松町,8.3万円,139.75700566666669,35.655482666666664
tokyo,アパート,ワンルーム,田町,8.9万円,139.747575,35.645736
tokyo,アパート,ワンルーム,高輪ゲートウェイ,8.5万円,139.7407,35.6355
tokyo,アパート,ワンルーム,品川,7.4万円,139.7388475,35.62868066666667
tokyo,アパート,ワンルーム,大崎,7.0万円,139.728439,35.619772
tokyo,アパート,ワンルーム,五反田,7.4万円,139.72405733333335,35.626112666666664
tokyo,アパート,ワンルーム,目黒,7.3万円,139.71556875,35.63343475
tokyo,アパート,ワンルーム,恵比寿,7.8万円,139.7098536,35.6468144
tokyo,アパート,ワンルーム,渋谷,7.8万円,139.70145854545456,35.65893609090909
tokyo,アパート,ワンルーム,原宿,8.2万円,139.702592,35.670646
tokyo,アパート,ワンルーム,代々木,7.2万円,139.70191666666668,35.68311333333333
tokyo,アパート,ワンルーム,新宿,6.5万円,139.70006215384618,35.68993538461538
tokyo,アパート,ワンルーム,新大久保,6.7万円,139.700261,35.700875
tokyo,アパート,ワンルーム,高田馬場,6.4万円,139.70405833333334,35.71289733333333
tokyo,アパート,ワンルーム,目白,6.5万円,139.706228,35.720476
tokyo,アパート,ワンルーム,池袋,6.3万円,139.7106608888889,35.730262555555555
tokyo,アパート,ワンルーム,大塚,6.3万円,139.728584,35.731412
tokyo,アパート,ワンルーム,巣鴨,6.2万円,139.738911,35.7334735
tokyo,アパート,ワンルーム,駒込,6.1万円,139.7472475,35.736892
tokyo,アパート,ワンルーム,田端,6.1万円,139.761229,35.737781
tokyo,アパート,ワンルーム,西日暮里,6.2万円,139.7667705,35.73202975
tokyo,アパート,ワンルーム,日暮里,6.6万円,139.771287,35.727908
tokyo,アパート,ワンルーム,鶯谷,6.5万円,139.778015,35.721484
tokyo,アパート,ワンルーム,上野,6.8万円,139.77706275,35.713213
tokyo,アパート,ワンルーム,御徒町,7.1万円,139.774727,35.707282
tokyo,アパート,ワンルーム,秋葉原,6.5万円,139.7739192,35.6985816
tokyo,アパート,ワンルーム,神田,7.5万円,139.77070550000002,35.6917765
tokyo,アパート,1K/1DK,東京,-,139.76598675,35.68142116666667
tokyo,アパート,1K/1DK,有楽町,-,139.76362566666666,35.675532
tokyo,アパート,1K/1DK,新橋,11.1万円,139.7588392857143,35.66618485714286
tokyo,アパート,1K/1DK,浜松町,9.9万円,139.75700566666669,35.655482666666664
tokyo,アパート,1K/1DK,田町,10.2万円,139.747575,35.645736
tokyo,アパート,1K/1DK,高輪ゲートウェイ,8.6万円,139.7407,35.6355
tokyo,アパート,1K/1DK,品川,7.5万円,139.7388475,35.62868066666667
tokyo,アパート,1K/1DK,大崎,7.7万円,139.728439,35.619772
tokyo,アパート,1K/1DK,五反田,7.9万円,139.72405733333335,35.626112666666664
tokyo,アパート,1K/1DK,目黒,8.0万円,139.71556875,35.63343475
tokyo,アパート,1K/1DK,恵比寿,8.5万円,139.7098536,35.6468144
tokyo,アパート,1K/1DK,渋谷,8.0万円,139.70145854545456,35.65893609090909
tokyo,アパート,1K/1DK,原宿,9.7万円,139.702592,35.670646
tokyo,アパート,1K/1DK,代々木,8.6万円,139.70191666666668,35.68311333333333
tokyo,アパート,1K/1DK,新宿,7.2万円,139.70006215384618,35.68993538461538
tokyo,アパート,1K/1DK,新大久保,7.8万円,139.700261,35.700875
tokyo,アパート,1K/1DK,高田馬場,7.3万円,139.70405833333334,35.71289733333333
