駅名,所要時間範囲,所要時間,乗り換え回数,路線名
久我山,41-50分,42分,乗換1回,京王井の頭線
浜田山,41-50分,42分,乗換1回,京王井の頭線
高井戸,41-50分,44分,乗換1回,京王井の頭線
富士見ヶ丘,41-50分,45分,乗換1回,京王井の頭線
三鷹台,41-50分,49分,乗換1回,京王井の頭線
井の頭公園,41-50分,50分,乗換1回,京王井の頭線
西荻窪,41-50分,41分,乗換1回,ＪＲ中央本線（東京-塩尻）
吉祥寺,41-50分,43分,乗換1回,ＪＲ中央本線（東京-塩尻）
三鷹,41-50分,46分,乗換1回,ＪＲ中央本線（東京-塩尻）
武蔵境,41-50分,48分,乗換1回,ＪＲ中央本線（東京-塩尻）
東小金井,41-50分,50分,乗換1回,ＪＲ中央本線（東京-塩尻）
西川口,41-50分,41分,乗換0回,ＪＲ京浜東北線
蕨,41-50分,43分,乗換0回,ＪＲ京浜東北線
南浦和,41-50分,47分,乗換0回,ＪＲ京浜東北線
南阿佐ヶ谷,41-50分,41分,乗換1回,東京メトロ丸ノ内線
本八幡〔ＪＲ〕,41-50分,41分,乗換1回,ＪＲ総武本線（東京-銚子）
下総中山,41-50分,43分,乗換1回,ＪＲ総武本線（東京-銚子）
船橋,41-50分,45分,乗換1回,ＪＲ総武本線（東京-銚子）
西船橋,41-50分,46分,乗換1回,ＪＲ総武本線（東京-銚子）
津田沼,41-50分,49分,乗換1回,ＪＲ総武本線（東京-銚子）
本蓮沼,41-50分,41分,乗換1回,都営三田線
志村坂上,41-50分,43分,乗換1回,都営三田線
志村三丁目,41-50分,45分,乗換1回,都営三田線
蓮根,41-50分,47分,乗換1回,都営三田線
西台,41-50分,49分,乗換1回,都営三田線
要町,41-50分,41分,乗換1回,東京メトロ有楽町線
千川,41-50分,43分,乗換1回,東京メトロ有楽町線
氷川台,41-50分,47分,乗換1回,東京メトロ有楽町線
平和台（東京都）,41-50分,49分,乗換1回,東京メトロ有楽町線
扇大橋,41-50分,41分,乗換1回,都営日暮里・舎人ライナー
高野（東京都）,41-50分,42分,乗換1回,都営日暮里・舎人ライナー
江北（東京都）,41-50分,44分,乗換1回,都営日暮里・舎人ライナー
西新井大師西,41-50分,45分,乗換1回,都営日暮里・舎人ライナー
谷在家,41-50分,47分,乗換1回,都営日暮里・舎人ライナー
舎人公園,41-50分,49分,乗換1回,都営日暮里・舎人ライナー
新綱島,41-50分,41分,乗換1回,東急新横浜線
下高井戸,41-50分,42分,乗換1回,京王線
桜上水,41-50分,44分,乗換1回,京王線
上北沢,41-50分,45分,乗換1回,京王線
千歳烏山,41-50分,47分,乗換1回,京王線
八幡山,41-50分,48分,乗換1回,京王線
芦花公園,41-50分,49分,乗換1回,京王線
経堂,41-50分,42分,乗換2回,小田急小田原線
成城学園前,41-50分,47分,乗換2回,小田急小田原線
